candle_begin_time,open,high,low,close,volume
2018-09-25 03:15:00,5.4139,5.4139,5.3937,5.406000000000001,63018.8170468
2018-09-25 03:20:00,5.4063,5.4129,5.4,5.4128,20814.83003003
2018-09-25 03:25:00,5.4128,5.4257,5.4116,5.4174,34574.32048341
2018-09-25 03:30:00,5.4163,5.4189,5.3865,5.3925,8213.17964321
2018-09-25 03:35:00,5.3926,5.3996,5.3818,5.3996,10456.1908145
2018-09-25 03:40:00,5.3959,5.4091,5.3959,5.4046,5020.06972001
2018-09-25 03:45:00,5.406000000000001,5.4065,5.3893,5.3916,38525.61517368
2018-09-25 03:50:00,5.3861,5.3866,5.38,5.3866,12555.37785753
2018-09-25 03:55:00,5.386,5.4036,5.3782,5.3918,6429.753775050001
2018-09-25 04:00:00,5.3949,5.4067,5.3939,5.4067,24520.773167299998
2018-09-25 04:05:00,5.4031,5.4077,5.3934,5.4023,1921.13993283
2018-09-25 04:10:00,5.406000000000001,5.4092,5.3986,5.4092,3253.9812305400005
2018-09-25 04:15:00,5.4091,5.4173,5.4091,5.4163,8788.3762683
2018-09-25 04:20:00,5.4166,5.4167,5.404,5.409,14615.865853079997
2018-09-25 04:25:00,5.4089,5.4121,5.4072,5.4078,2875.20622499
2018-09-25 04:30:00,5.4052,5.4052,5.3908,5.3908,15574.21525575
2018-09-25 04:35:00,5.3902,5.3907,5.3777,5.3907,24993.27453081
2018-09-25 04:40:00,5.3907,5.3989,5.3907,5.3989,2201.5008564600007
2018-09-25 04:45:00,5.3988,5.3988,5.3929,5.3929,1534.2055483
2018-09-25 04:50:00,5.3858,5.3858,5.38,5.38,6670.0340055000015
2018-09-25 04:55:00,5.3813,5.3813,5.3725,5.3725,14666.60266222
2018-09-25 05:00:00,5.3725,5.3781,5.365,5.3704,32065.37675615
2018-09-25 05:05:00,5.3715,5.3868,5.3715,5.3867,7508.87950031
2018-09-25 05:10:00,5.3831,5.392,5.3772,5.392,10368.10901431
2018-09-25 05:15:00,5.392,5.3925,5.38,5.3856,7033.12352596
2018-09-25 05:20:00,5.3859,5.3925,5.3787,5.3828,16391.90830324
2018-09-25 05:25:00,5.3827,5.3872,5.3827,5.3835,15255.11950656
2018-09-25 05:30:00,5.3835,5.3891,5.382000000000001,5.3891,13168.17255812
2018-09-25 05:35:00,5.3891,5.3891,5.3832,5.3843,7979.289028319998
2018-09-25 05:40:00,5.3845,5.3845,5.379,5.3808,22412.69931644
2018-09-25 05:45:00,5.3881,5.3899,5.3791,5.3872,7508.30937429
2018-09-25 05:50:00,5.3851,5.3871,5.3792,5.3792,8741.37939254
2018-09-25 05:55:00,5.3791,5.3791,5.3722,5.3722,10989.88327878
2018-09-25 06:00:00,5.372000000000001,5.3789,5.3711,5.3712,23421.56782094
2018-09-25 06:05:00,5.3713,5.3713,5.3655,5.36553565,17751.319402189998
2018-09-25 06:10:00,5.3655,5.3664,5.3631,5.3631,6739.26507309
2018-09-25 06:15:00,5.3631,5.3632,5.3203,5.3203,59350.36906213
2018-09-25 06:20:00,5.3201,5.33240926,5.27,5.2785,106989.27328225
2018-09-25 06:25:00,5.272,5.2723,5.1554,5.1813,515721.36086014
2018-09-25 06:30:00,5.1823,5.204,5.1709,5.2013,354275.07906722
2018-09-25 06:35:00,5.2,5.2166,5.1723,5.1867,211026.16079841
2018-09-25 06:40:00,5.182,5.189,5.1231,5.1603,307850.4434298
2018-09-25 06:45:00,5.1614,5.165,5.1378,5.1526,149716.1537165
2018-09-25 06:50:00,5.1539,5.169,5.1441,5.1483,91517.79128902
2018-09-25 06:55:00,5.1477,5.1594,5.09111652,5.1549,203466.92999170002
2018-09-25 07:00:00,5.1549,5.15885851,5.1339999999999995,5.151,51415.38401718
2018-09-25 07:05:00,5.1513,5.1645,5.1471,5.1473,61316.02239156001
2018-09-25 07:10:00,5.1464,5.1579999999999995,5.1301,5.1525,70797.59552591
2018-09-25 07:15:00,5.1525,5.1607,5.1355,5.14709513,80660.06294060999
2018-09-25 07:20:00,5.1529,5.1586,5.1452,5.147,53435.35721849
2018-09-25 07:25:00,5.1465,5.1471,5.1212,5.1212,105326.44765379
2018-09-25 07:30:00,5.1204,5.13726445,5.0909,5.1027,111978.52872187
2018-09-25 07:35:00,5.1057,5.1057,5.0569,5.0879,177145.3381283
2018-09-25 07:40:00,5.0866,5.1263,5.0866,5.1035,36992.52310373
2018-09-25 07:45:00,5.1035,5.1036,5.05,5.0807,125110.57979911
2018-09-25 07:50:00,5.0774,5.1347,5.0773,5.1347,19757.60647058
2018-09-25 07:55:00,5.1335,5.1375,5.109,5.12,55940.32092714
2018-09-25 08:00:00,5.1201,5.1506,5.1018,5.1506,33769.2068679
2018-09-25 08:05:00,5.1502,5.1856,5.1468,5.1597,118891.40168453
2018-09-25 08:10:00,5.1597,5.1811,5.1596,5.1698,45325.59617608
2018-09-25 08:15:00,5.16974629,5.172999999999999,5.13374396,5.1402,51251.10699891001
2018-09-25 08:20:00,5.1452,5.1679,5.1375,5.167000000000001,25270.13586194
2018-09-25 08:25:00,5.167000000000001,5.1906,5.1587,5.1625,44411.01762839
2018-09-25 08:30:00,5.1625,5.1884,5.1625,5.1801,49162.34676958
2018-09-25 08:35:00,5.1787,5.178999999999999,5.1626,5.1638,25451.04432842
2018-09-25 08:40:00,5.1662,5.17448998,5.1662,5.17448998,4463.18785998
2018-09-25 08:45:00,5.172999999999999,5.188,5.1652,5.1856,10667.90225743
2018-09-25 08:50:00,5.1856,5.1981,5.18,5.18,31157.95079497
2018-09-25 08:55:00,5.18,5.19,5.1744,5.1862,10685.90852819
2018-09-25 09:00:00,5.182,5.1981,5.182,5.1979999999999995,26156.43943606
2018-09-25 09:05:00,5.1973,5.2153,5.1973,5.2074,43327.37349645
2018-09-25 09:10:00,5.2075,5.2136,5.184,5.184,21719.38419728
2018-09-25 09:15:00,5.1843,5.2028,5.18,5.1849,15818.2068132
2018-09-25 09:20:00,5.1848,5.2028,5.1744,5.1961,26893.694366000003
2018-09-25 09:25:00,5.196000000000001,5.1991,5.167000000000001,5.1681,9033.31692811
